date,time,decision_type,decision_quality,confidence,energy
2022-01-13,22:01,Analytical,5.82,7.51,10.0
2022-01-13,11:01,Analytical,7.81,8.83,7.66
2022-01-13,13:01,Creative,5.07,4.66,7.57
2022-01-13,08:01,Social,6.39,6.18,7.13
2022-01-13,11:01,Analytical,7.45,7.51,5.19
2022-01-13,15:01,Social,6.0,4.72,9.27
2022-01-13,18:01,Social,3.92,5.07,10.0
2022-01-14,15:42,Creative,6.31,3.71,6.58
2022-01-14,08:42,Emotional,6.67,5.66,6.27
2022-01-14,12:42,Analytical,9.56,10.0,5.45
2022-01-14,12:42,Social,4.37,4.04,6.87
2022-01-15,20:12,Creative,2.67,2.13,4.85
2022-01-15,10:12,Social,4.83,5.64,3.73
2022-01-15,23:12,Analytical,2.15,1.79,6.19
2022-01-15,21:12,Creative,1.0,1.05,3.93
2022-01-16,19:55,Creative,1.26,1.0,4.57
2022-01-16,17:55,Emotional,1.92,2.42,2.85
2022-01-16,09:55,Social,3.84,2.96,7.34
2022-01-16,11:55,Emotional,1.0,1.43,4.87
2022-01-17,14:09,Emotional,4.06,4.49,9.08
2022-01-17,12:09,Analytical,2.43,2.93,1.53
2022-01-17,09:09,Emotional,3.81,5.44,5.36
2022-01-17,12:09,Analytical,3.99,3.8,10.0
2022-01-17,22:09,Social,2.51,1.46,9.51
2022-01-18,11:34,Emotional,7.08,6.98,2.94
2022-01-18,13:34,Emotional,7.44,9.04,6.78
2022-01-18,11:34,Creative,3.08,3.03,5.1
2022-01-18,13:34,Analytical,5.29,6.75,7.18
2022-01-18,19:34,Social,2.68,4.06,6.05
2022-01-18,12:34,Social,5.33,6.8,3.2
2022-01-19,16:09,Analytical,3.96,3.43,2.41
2022-01-19,21:09,Creative,4.04,6.55,1.87
2022-01-19,15:09,Emotional,3.47,4.11,5.8
2022-01-19,21:09,Creative,3.35,2.05,6.02
2022-01-19,12:09,Analytical,2.88,1.0,7.94
2022-01-19,21:09,Analytical,5.46,5.51,6.01
2022-01-20,21:02,Analytical,4.76,4.98,6.35
2022-01-20,19:02,Social,2.2,3.51,5.18
2022-01-20,21:02,Analytical,3.44,2.17,5.11
2022-01-21,20:48,Creative,1.0,1.0,1.65
2022-01-21,07:48,Analytical,1.0,3.12,5.94
2022-01-21,18:48,Creative,4.38,3.16,3.42
2022-01-21,09:48,Emotional,1.0,1.0,1.44
2022-01-21,14:48,Creative,3.36,2.96,5.42
2022-01-21,07:48,Analytical,2.91,5.21,1.0
2022-01-22,16:46,Creative,6.13,7.27,3.26
2022-01-22,21:46,Analytical,6.25,6.59,4.76
2022-01-22,21:46,Social,3.0,2.28,9.31
2022-01-22,11:46,Social,4.24,5.02,3.63
2022-01-22,12:46,Emotional,3.07,4.15,2.51
2022-01-22,21:46,Analytical,4.12,4.15,5.43
2022-01-23,18:22,Emotional,4.55,4.95,7.28
2022-01-23,07:22,Emotional,5.92,4.93,5.32
2022-01-23,19:22,Emotional,6.61,7.5,3.14
2022-01-24,12:48,Analytical,3.05,1.07,4.12
2022-01-24,16:48,Analytical,5.37,4.42,2.36
2022-01-24,17:48,Analytical,3.67,2.13,2.76
2022-01-24,09:48,Social,2.92,2.28,3.56
2022-01-24,17:48,Social,3.14,3.56,4.56
2022-01-24,07:48,Emotional,1.51,1.88,3.78
2022-01-24,17:48,Creative,2.71,2.21,3.66
2022-01-25,07:43,Creative,5.37,5.33,5.33
2022-01-25,09:43,Emotional,5.18,5.44,7.38
2022-01-25,12:43,Analytical,8.52,8.09,7.77
2022-01-25,20:43,Creative,7.68,8.12,5.3
2022-01-25,12:43,Emotional,7.07,7.44,6.96
2022-01-25,16:43,Emotional,3.72,3.88,10.0
2022-01-25,18:43,Emotional,6.31,5.58,7.7
2022-01-26,11:56,Emotional,6.76,7.95,4.71
2022-01-26,20:56,Social,7.39,7.98,6.95
2022-01-26,00:56,Analytical,7.3,8.33,8.97
2022-01-27,17:02,Social,1.0,1.82,4.01
2022-01-27,19:02,Analytical,2.79,2.87,3.84
2022-01-27,14:02,Social,3.97,3.89,1.9
2022-01-27,10:02,Analytical,2.09,2.27,6.6
2022-01-27,20:02,Creative,3.09,2.24,9.11
2022-01-27,17:02,Analytical,3.08,4.36,3.84
2022-01-28,11:41,Emotional,4.74,5.58,7.98
2022-01-28,09:41,Creative,5.53,6.4,4.91
2022-01-28,21:41,Creative,3.09,3.42,7.41
2022-01-29,07:44,Emotional,4.57,5.64,8.7
2022-01-29,20:44,Creative,3.53,2.7,5.51
2022-01-29,22:44,Emotional,5.37,4.84,8.49
2022-01-29,20:44,Social,5.54,5.58,2.92
2022-01-30,15:00,Creative,4.91,5.19,3.22
2022-01-30,08:00,Analytical,8.91,8.75,10.0
2022-01-30,13:00,Emotional,10.0,9.82,7.28
2022-01-31,14:27,Emotional,8.08,9.79,3.87
2022-01-31,19:27,Social,3.91,3.29,8.32
2022-01-31,18:27,Emotional,7.34,8.41,4.75
2022-01-31,08:27,Emotional,3.12,3.97,5.49
2022-01-31,09:27,Emotional,3.56,3.71,8.74
2022-01-31,11:27,Social,6.41,5.95,6.83
2022-02-01,14:05,Analytical,1.75,1.0,2.08
2022-02-01,09:05,Emotional,2.58,2.91,3.85
2022-02-01,14:05,Social,1.0,1.0,1.0
2022-02-01,10:05,Creative,2.07,3.5,1.0
2022-02-01,14:05,Creative,1.0,1.33,6.02
2022-02-02,10:28,Creative,1.57,1.0,1.0
2022-02-02,13:28,Analytical,2.89,4.94,4.99
2022-02-02,07:28,Emotional,2.21,2.53,4.42
2022-02-02,10:28,Social,1.02,1.84,4.89
2022-02-03,16:17,Creative,1.56,1.0,6.26
2022-02-03,11:17,Analytical,3.03,2.48,5.65
2022-02-03,15:17,Emotional,1.0,1.0,2.13
2022-02-03,09:17,Emotional,1.0,1.47,1.0
2022-02-03,19:17,Creative,1.0,1.0,3.48
2022-02-04,18:09,Analytical,6.3,5.97,4.4
2022-02-04,09:09,Social,4.26,4.73,5.39
2022-02-04,00:09,Creative,6.5,5.61,6.85
2022-02-04,23:09,Emotional,7.98,8.56,5.67
2022-02-04,13:09,Analytical,6.91,6.67,6.51
2022-02-04,19:09,Emotional,5.53,5.37,6.91
2022-02-04,00:09,Emotional,4.53,3.52,3.71
2022-02-05,10:56,Social,4.67,3.46,7.93
2022-02-05,16:56,Analytical,6.24,6.75,7.68
2022-02-05,21:56,Analytical,4.62,5.28,9.23
2022-02-05,10:56,Analytical,6.08,6.5,5.9
2022-02-05,15:56,Analytical,7.72,6.46,4.02
2022-02-05,18:56,Creative,6.5,6.38,6.81
2022-02-05,20:56,Emotional,5.3,4.9,8.15
2022-02-06,16:51,Analytical,6.01,6.19,5.05
2022-02-06,12:51,Creative,7.33,6.16,7.37
2022-02-06,14:51,Creative,7.35,7.83,5.98
2022-02-07,08:53,Social,4.97,6.01,4.11
2022-02-07,08:53,Social,4.31,3.91,9.44
2022-02-07,12:53,Social,6.34,5.37,6.34
2022-02-08,06:57,Emotional,5.3,4.59,8.67
2022-02-08,17:57,Creative,4.16,5.77,8.37
2022-02-08,18:57,Emotional,7.85,7.39,6.41
2022-02-08,17:57,Emotional,4.07,3.54,7.7
2022-02-08,05:57,Emotional,8.16,7.05,5.98
2022-02-09,17:28,Emotional,1.0,1.0,3.43
2022-02-09,20:28,Analytical,1.0,1.0,1.35
2022-02-09,12:28,Social,1.0,1.0,1.82
2022-02-09,19:28,Social,1.0,1.0,2.89
2022-02-09,15:28,Creative,2.58,2.72,4.24
2022-02-10,20:29,Creative,5.12,5.28,6.0
2022-02-10,09:29,Creative,4.99,4.25,10.0
2022-02-10,13:29,Emotional,8.63,8.88,5.12
2022-02-10,22:29,Emotional,6.91,7.22,8.54
2022-02-10,09:29,Social,4.44,3.55,8.06
2022-02-10,09:29,Analytical,8.51,6.32,7.87
2022-02-11,15:36,Social,1.0,1.85,3.29
2022-02-11,12:36,Social,1.0,1.0,1.0
2022-02-11,11:36,Creative,1.0,2.0,4.69
2022-02-11,12:36,Social,1.0,1.43,2.66
2022-02-11,16:36,Social,1.0,1.0,5.24
2022-02-11,08:36,Emotional,1.0,2.61,1.26
2022-02-12,15:09,Social,6.98,5.57,6.68
2022-02-12,20:09,Creative,3.88,2.47,5.95
2022-02-12,06:09,Analytical,7.0,6.16,2.51
2022-02-12,10:09,Emotional,4.85,4.76,6.61
2022-02-12,15:09,Social,6.41,6.35,9.22
2022-02-12,09:09,Emotional,5.33,4.98,2.29
2022-02-12,19:09,Creative,4.6,4.26,7.43
2022-02-13,13:09,Analytical,2.42,1.24,3.58
2022-02-13,09:09,Emotional,2.23,3.76,5.02
2022-02-13,21:09,Analytical,2.87,2.93,4.02
2022-02-13,17:09,Social,3.1,1.77,2.54
2022-02-13,19:09,Emotional,1.0,1.38,5.7
2022-02-13,21:09,Analytical,1.0,1.0,2.42
2022-02-14,06:33,Emotional,6.46,7.0,6.27
2022-02-14,11:33,Analytical,5.17,3.89,6.44
2022-02-14,10:33,Emotional,3.84,6.03,6.55
2022-02-14,20:33,Creative,4.22,3.61,5.22
2022-02-14,17:33,Creative,4.73,5.85,5.78
2022-02-15,14:06,Emotional,6.29,8.18,8.42
2022-02-15,19:06,Emotional,8.54,7.93,9.05
2022-02-15,07:06,Emotional,7.85,5.96,10.0
2022-02-16,08:43,Creative,6.41,6.01,4.02
2022-02-16,11:43,Analytical,5.5,5.58,6.93
2022-02-16,11:43,Emotional,4.76,5.27,9.11
2022-02-16,16:43,Emotional,5.33,4.28,8.95
2022-02-16,14:43,Emotional,6.94,10.0,3.97
2022-02-17,17:12,Creative,4.29,2.21,7.07
2022-02-17,06:12,Creative,3.1,5.02,4.41
2022-02-17,15:12,Emotional,1.39,1.0,2.01
2022-02-18,20:41,Emotional,8.26,6.2,7.45
2022-02-18,12:41,Analytical,4.52,4.2,10.0
2022-02-18,13:41,Creative,7.68,6.81,7.33
2022-02-18,14:41,Creative,7.16,7.64,4.66
2022-02-18,10:41,Social,8.03,5.32,6.13
2022-02-18,21:41,Analytical,6.9,7.54,7.44
2022-02-19,11:13,Analytical,1.15,1.0,4.42
2022-02-19,22:13,Emotional,2.64,2.06,3.06
2022-02-19,16:13,Emotional,3.81,3.29,3.84
2022-02-20,22:08,Emotional,8.57,7.15,2.68
2022-02-20,13:08,Emotional,6.49,5.81,5.74
2022-02-20,08:08,Analytical,4.64,4.38,9.58
2022-02-20,15:08,Creative,6.52,7.38,3.55
2022-02-21,14:33,Emotional,2.27,1.0,3.73
2022-02-21,11:33,Creative,5.43,5.95,4.91
2022-02-21,11:33,Analytical,4.46,3.77,5.76
2022-02-21,20:33,Analytical,5.64,4.03,5.95
2022-02-22,08:49,Social,9.24,8.82,10.0
2022-02-22,21:49,Analytical,10.0,9.9,9.59
2022-02-22,14:49,Analytical,7.23,7.41,9.72
2022-02-23,07:13,Social,5.92,4.9,7.39
2022-02-23,09:13,Emotional,7.82,8.26,8.9
2022-02-23,07:13,Analytical,5.77,6.52,7.54
2022-02-24,08:24,Analytical,5.42,5.74,5.76
2022-02-24,11:24,Creative,5.4,5.59,8.33
2022-02-24,14:24,Creative,4.56,5.62,8.88
2022-02-24,19:24,Analytical,5.79,4.25,7.45
2022-02-24,10:24,Creative,5.68,5.79,7.01
2022-02-25,21:12,Emotional,3.73,3.34,7.01
2022-02-25,15:12,Creative,7.69,6.99,10.0
2022-02-25,12:12,Analytical,4.37,5.68,7.17
2022-02-25,10:12,Creative,8.03,8.11,9.9
2022-02-25,16:12,Emotional,6.16,5.06,10.0
2022-02-26,07:37,Analytical,3.64,3.86,7.1
2022-02-26,13:37,Social,1.76,2.36,3.45
2022-02-26,18:37,Creative,3.11,3.18,1.63
2022-02-26,21:37,Analytical,2.64,3.99,6.4
2022-02-27,19:28,Social,1.0,1.24,2.19
2022-02-27,21:28,Creative,2.75,2.55,3.24
2022-02-27,15:28,Social,2.43,1.65,5.9
2022-02-27,11:28,Emotional,1.0,2.63,2.03
2022-02-28,20:50,Analytical,5.55,3.66,5.51
2022-02-28,10:50,Social,3.86,3.25,6.15
2022-02-28,17:50,Emotional,6.85,7.06,7.04
2022-03-01,08:32,Analytical,6.84,5.96,10.0
2022-03-01,17:32,Social,6.88,8.53,8.69
2022-03-01,10:32,Social,7.98,9.05,10.0
2022-03-01,16:32,Social,7.81,7.43,9.07
2022-03-01,16:32,Social,8.49,9.38,9.19
2022-03-01,14:32,Social,8.91,10.0,9.94
2022-03-01,16:32,Social,8.45,6.93,3.92
2022-03-02,10:41,Social,6.74,6.64,5.91
2022-03-02,19:41,Creative,6.52,6.46,9.2
2022-03-02,08:41,Social,6.28,5.54,8.92
2022-03-02,11:41,Social,5.83,6.35,5.99
2022-03-03,08:50,Analytical,2.1,2.19,4.75
2022-03-03,10:50,Social,3.3,3.03,1.05
2022-03-03,18:50,Analytical,2.43,3.22,4.13
2022-03-03,11:50,Analytical,2.71,3.69,3.3
2022-03-03,17:50,Creative,1.0,1.0,3.75
2022-03-03,16:50,Creative,1.13,1.0,5.7
2022-03-04,20:10,Analytical,6.17,6.47,10.0
2022-03-04,15:10,Social,5.16,5.44,5.69
2022-03-04,23:10,Emotional,4.41,3.82,5.75
2022-03-04,16:10,Social,6.22,8.57,5.28
2022-03-04,19:10,Social,5.05,4.99,7.5
2022-03-04,20:10,Social,6.07,7.36,1.86
2022-03-04,16:10,Creative,2.1,1.6,8.9
2022-03-05,09:27,Analytical,1.0,1.0,3.87
2022-03-05,14:27,Social,1.22,1.0,1.0
2022-03-05,21:27,Creative,1.0,1.11,1.48
2022-03-05,10:27,Analytical,2.1,1.0,1.02
2022-03-05,09:27,Analytical,1.0,1.0,1.65
2022-03-05,08:27,Social,2.06,1.0,2.82
2022-03-06,10:58,Social,7.42,9.28,6.36
2022-03-06,15:58,Creative,7.07,5.27,2.54
2022-03-06,14:58,Analytical,8.35,8.35,9.68
2022-03-07,20:25,Social,1.0,1.52,8.32
2022-03-07,11:25,Emotional,2.98,3.26,4.6
2022-03-07,20:25,Social,1.0,2.36,3.36
2022-03-08,14:55,Emotional,5.57,4.01,3.73
2022-03-08,06:55,Analytical,7.47,7.12,9.0
2022-03-08,19:55,Analytical,5.2,3.36,7.87
2022-03-08,18:55,Social,3.93,4.63,6.14
2022-03-08,16:55,Social,2.5,2.67,10.0
2022-03-08,20:55,Social,5.56,5.5,8.24
2022-03-08,07:55,Analytical,5.63,5.84,3.91
2022-03-09,18:05,Creative,4.28,5.32,4.17
2022-03-09,00:05,Social,6.07,5.97,4.06
2022-03-09,13:05,Emotional,5.43,5.14,7.36
2022-03-09,21:05,Social,3.49,3.43,6.83
2022-03-10,01:19,Social,4.56,2.57,2.69
2022-03-10,01:19,Creative,5.52,5.39,3.88
2022-03-10,11:19,Social,2.09,1.01,1.0
2022-03-11,20:36,Social,1.92,1.32,2.84
2022-03-11,16:36,Emotional,1.97,2.33,8.96
2022-03-11,15:36,Analytical,1.0,2.16,6.72
2022-03-11,05:36,Analytical,1.4,1.6,3.85
2022-03-11,09:36,Emotional,2.35,3.86,5.98
2022-03-12,08:34,Emotional,7.73,7.3,4.89
2022-03-12,20:34,Analytical,7.16,8.36,4.81
2022-03-12,21:34,Emotional,5.39,5.51,5.89
2022-03-12,19:34,Social,5.78,5.36,5.13
2022-03-12,19:34,Analytical,6.01,6.71,5.25
2022-03-13,12:37,Creative,1.0,1.0,6.44
2022-03-13,14:37,Analytical,3.03,2.57,5.07
2022-03-13,07:37,Emotional,1.0,1.49,5.75
2022-03-13,08:37,Emotional,2.21,3.22,2.73
2022-03-14,06:47,Emotional,3.93,4.08,3.17
2022-03-14,07:47,Social,2.21,2.1,6.28
2022-03-14,19:47,Social,1.0,1.0,5.91
2022-03-14,14:47,Analytical,1.84,2.74,7.24
2022-03-15,06:01,Emotional,1.69,2.37,1.81
2022-03-15,18:01,Social,3.43,3.62,5.07
2022-03-15,16:01,Analytical,1.82,1.0,5.13
2022-03-15,21:01,Analytical,1.0,1.0,6.0
2022-03-15,12:01,Emotional,2.58,4.53,6.17
2022-03-15,21:01,Emotional,1.31,1.34,4.03
2022-03-16,18:09,Emotional,3.55,2.61,5.91
2022-03-16,22:09,Creative,2.87,2.92,6.53
2022-03-16,00:09,Analytical,3.91,4.32,8.46
2022-03-16,15:09,Emotional,6.26,5.94,8.21
2022-03-17,10:05,Emotional,6.17,6.47,4.98
2022-03-17,21:05,Creative,5.56,6.76,5.44
2022-03-17,11:05,Analytical,8.79,8.27,6.69
2022-03-17,19:05,Emotional,4.14,4.36,3.15
2022-03-17,11:05,Social,4.33,3.23,6.9
2022-03-18,11:21,Emotional,2.37,3.01,1.0
2022-03-18,07:21,Emotional,3.94,4.23,1.38
2022-03-18,14:21,Social,1.11,1.29,1.6
2022-03-18,15:21,Creative,1.17,1.0,2.12
2022-03-18,18:21,Social,1.0,1.0,3.22
2022-03-18,13:21,Social,1.75,2.27,4.57
2022-03-19,14:04,Analytical,6.24,5.7,8.0
2022-03-19,14:04,Social,3.21,2.31,4.39
2022-03-19,15:04,Social,6.87,7.81,7.29
2022-03-19,17:04,Social,6.86,5.98,7.02
2022-03-19,10:04,Creative,5.06,5.91,6.09
2022-03-19,20:04,Social,4.67,5.21,8.07
2022-03-19,13:04,Creative,4.25,4.19,4.2
2022-03-20,14:51,Social,3.37,3.57,9.44
2022-03-20,18:51,Emotional,7.51,5.56,7.52
2022-03-20,07:51,Creative,3.79,5.16,6.05
2022-03-20,18:51,Emotional,9.0,9.95,6.42
2022-03-21,11:10,Emotional,3.41,3.76,4.59
2022-03-21,13:10,Social,5.26,4.78,2.72
2022-03-21,13:10,Analytical,2.26,2.49,5.16
2022-03-21,10:10,Creative,4.28,4.98,8.63
2022-03-21,06:10,Creative,4.7,4.36,7.28
2022-03-22,18:44,Social,1.0,1.22,3.91
2022-03-22,17:44,Social,1.73,1.0,1.29
2022-03-22,05:44,Creative,1.0,1.1,3.77
2022-03-22,09:44,Emotional,2.95,2.46,1.81
2022-03-22,08:44,Analytical,2.93,3.23,5.35
2022-03-23,18:24,Creative,6.6,5.44,4.63
2022-03-23,11:24,Social,3.84,4.5,9.68
2022-03-23,10:24,Analytical,9.44,10.0,9.63
2022-03-23,12:24,Emotional,5.3,4.14,9.0
2022-03-23,19:24,Analytical,7.29,7.4,8.07
2022-03-24,19:28,Analytical,6.42,7.71,8.88
2022-03-24,20:28,Creative,6.25,7.1,7.32
2022-03-24,15:28,Analytical,5.25,6.0,3.5
2022-03-24,11:28,Emotional,7.02,5.82,6.86
2022-03-24,23:28,Analytical,4.67,5.22,6.22
2022-03-24,15:28,Analytical,3.54,3.97,5.13
2022-03-25,17:46,Social,3.75,3.75,5.4
2022-03-25,14:46,Social,1.0,1.0,3.69
2022-03-25,13:46,Creative,3.71,5.39,3.0
2022-03-25,10:46,Creative,4.04,1.87,2.22
2022-03-25,13:46,Emotional,1.0,1.0,1.44
2022-03-26,19:22,Emotional,5.9,5.69,7.94
2022-03-26,07:22,Social,6.32,6.59,8.5
2022-03-26,17:22,Analytical,5.68,4.49,9.3
2022-03-26,16:22,Social,4.4,3.46,6.82
2022-03-26,21:22,Creative,3.91,3.5,7.87
2022-03-26,14:22,Creative,5.81,4.91,6.2
2022-03-27,01:14,Emotional,3.02,3.52,7.42
2022-03-27,19:14,Analytical,3.68,4.83,1.0
2022-03-27,11:14,Analytical,3.06,3.0,2.17
2022-03-27,17:14,Emotional,1.66,2.61,4.27
2022-03-27,22:14,Emotional,1.0,1.74,1.99
2022-03-28,11:31,Creative,5.98,5.68,6.23
2022-03-28,22:31,Social,6.8,5.76,10.0
2022-03-28,08:31,Social,2.92,2.33,7.41
2022-03-28,16:31,Emotional,6.53,6.43,6.56
2022-03-28,10:31,Creative,6.27,6.04,9.46
2022-03-29,14:04,Creative,7.67,8.55,4.98
2022-03-29,22:04,Emotional,6.3,6.0,4.9
2022-03-29,21:04,Analytical,7.46,6.92,8.22
2022-03-29,16:04,Analytical,5.31,7.03,5.12
2022-03-29,23:04,Social,6.74,7.54,5.77
2022-03-30,16:30,Social,7.07,5.84,9.52
2022-03-30,09:30,Creative,5.82,5.22,6.02
2022-03-30,14:30,Analytical,7.51,6.92,5.12
2022-03-30,17:30,Social,5.46,4.28,10.0
2022-03-30,16:30,Social,4.94,5.78,7.04
2022-03-30,06:30,Analytical,4.82,4.81,8.19
2022-03-31,20:23,Creative,2.54,3.73,5.89
2022-03-31,06:23,Social,4.2,3.74,1.69
2022-03-31,12:23,Emotional,1.9,2.1,4.94
2022-03-31,16:23,Analytical,1.0,1.0,4.17
2022-04-01,10:58,Creative,3.31,4.6,7.0
2022-04-01,09:58,Social,5.69,5.48,8.03
2022-04-01,15:58,Social,6.18,7.49,3.98
2022-04-02,10:44,Emotional,1.55,1.2,5.0
2022-04-02,11:44,Emotional,2.96,2.12,4.16
2022-04-02,15:44,Creative,1.0,2.44,3.0
2022-04-02,08:44,Social,2.01,1.7,6.31
2022-04-02,17:44,Creative,1.0,1.0,3.81
2022-04-02,18:44,Social,1.25,2.97,2.25
2022-04-03,14:46,Analytical,5.24,5.6,7.82
2022-04-03,07:46,Creative,2.59,1.85,7.49
2022-04-03,09:46,Social,4.22,2.68,4.22
2022-04-03,13:46,Emotional,4.17,5.0,3.94
2022-04-03,12:46,Analytical,1.0,1.52,2.86
2022-04-03,19:46,Social,1.0,1.0,6.93
2022-04-03,15:46,Creative,3.78,3.55,8.08
2022-04-04,20:21,Creative,5.04,6.66,2.63
2022-04-04,12:21,Analytical,4.54,2.92,4.96
2022-04-04,22:21,Social,3.72,4.34,5.51
2022-04-05,09:48,Creative,9.19,9.89,10.0
2022-04-05,12:48,Creative,7.78,6.84,9.87
2022-04-05,14:48,Emotional,7.05,8.53,8.81
2022-04-05,21:48,Social,7.4,6.93,10.0
2022-04-05,10:48,Social,8.02,7.37,10.0
2022-04-05,12:48,Creative,6.97,7.0,10.0
2022-04-06,14:55,Social,1.0,1.48,1.0
2022-04-06,13:55,Social,1.0,1.0,2.46
2022-04-06,12:55,Analytical,1.11,1.97,1.57
2022-04-06,17:55,Emotional,1.0,1.0,4.01
2022-04-06,15:55,Social,1.0,1.0,2.4
2022-04-07,17:31,Social,5.77,4.82,4.53
2022-04-07,08:31,Analytical,6.74,6.65,7.91
2022-04-07,21:31,Creative,8.39,8.92,7.04
2022-04-07,16:31,Social,6.66,7.17,9.97
2022-04-08,21:51,Social,4.28,3.81,3.27
2022-04-08,17:51,Analytical,2.42,3.09,6.42
2022-04-08,12:51,Analytical,5.46,5.33,8.07
2022-04-08,10:51,Emotional,3.36,4.32,5.18
2022-04-09,22:43,Emotional,1.25,1.84,5.36
2022-04-09,08:43,Analytical,3.2,3.28,4.46
2022-04-09,15:43,Social,5.74,6.93,5.99
2022-04-09,16:43,Social,2.33,3.33,5.58
2022-04-10,11:35,Analytical,2.67,2.37,4.3
2022-04-10,12:35,Emotional,1.0,1.21,3.48
2022-04-10,12:35,Social,4.52,4.54,2.08
2022-04-10,17:35,Social,2.06,1.01,5.41
2022-04-10,11:35,Analytical,3.07,4.03,2.88
2022-04-11,17:48,Creative,4.96,3.6,7.16
2022-04-11,12:48,Analytical,6.19,6.69,5.76
2022-04-11,14:48,Analytical,6.03,7.64,5.19
2022-04-11,08:48,Social,5.12,4.03,4.02
2022-04-11,12:48,Emotional,5.06,6.16,5.25
2022-04-12,16:20,Emotional,7.04,6.64,6.85
2022-04-12,15:20,Emotional,7.84,6.34,10.0
2022-04-12,20:20,Creative,6.4,7.12,5.38
2022-04-12,17:20,Social,8.4,9.07,8.69
2022-04-12,11:20,Social,5.91,6.15,5.55
2022-04-12,08:20,Creative,7.02,8.05,9.51
2022-04-13,08:46,Creative,6.83,5.86,9.21
2022-04-13,12:46,Analytical,7.34,5.02,9.49
2022-04-13,22:46,Emotional,6.77,7.98,5.73
2022-04-13,12:46,Social,2.05,2.33,8.5
2022-04-14,10:45,Social,1.74,1.0,10.0
2022-04-14,08:45,Social,3.82,4.55,4.4
2022-04-14,18:45,Social,1.14,1.0,5.17
2022-04-14,21:45,Social,3.68,3.57,6.23
2022-04-14,10:45,Creative,4.05,2.79,6.67
2022-04-14,10:45,Emotional,1.36,1.0,7.18
2022-04-15,13:00,Emotional,8.24,8.18,5.45
2022-04-15,12:00,Creative,6.42,6.15,5.05
2022-04-15,15:00,Creative,6.37,7.02,10.0
2022-04-16,07:44,Creative,2.76,3.52,1.2
2022-04-16,20:44,Analytical,4.88,4.08,5.64
2022-04-16,14:44,Social,3.02,4.34,3.28
2022-04-16,10:44,Emotional,4.33,4.05,4.71
